"poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","hiv_prevalence","frequent_mental_distress","premature_death","mental_health_providers","GEOID"
0.167,4.44935826591175,5.70933873331725,167.8,0.162,6122.9359007579,0.00614144129010583,"06083"
0.148,3.41961333377668,4.4969653925449,232.1,0.133,4125.47370012581,0.00413469473478765,"06085"
0.166,4.16565206461448,5.64732019366708,221,0.174,5482.15723897042,0.00913768895261994,"06087"
0.161,4.57943437648748,6.09821179951514,138.7,0.187,10558.411246835,0.00477657173916624,"06089"
0.173,4.54338549612524,5.94076411307924,NA,0.192,4389.31842972881,0.0024367956137679,"06091"
0.188,4.96105776968415,6.353619631554,167.1,0.197,13488.2199434384,0.00489596083231334,"06093"
0.177,4.15369337401269,5.4126439915659,360.6,0.174,7384.61218293816,0.00424824447219049,"06095"
0.144,4.28640171657549,5.83354245961611,343.2,0.163,5996.97318486532,0.00532839940150693,"06097"
0.196,4.93722589425036,5.85478832251193,198.5,0.18,9308.63129387092,0.00241772589100523,"06099"
0.23,4.82256666656468,5.79986458156425,152.4,0.191,8212.83027492735,0.00376528067997133,"06101"
0.209,5.00647272619163,6.30287406390465,97.4,0.204,11335.9128095824,0.0018168493694464,"06103"
0.195,5.17704134295218,6.46086372091009,100.8,0.199,12353.9428139885,0.00317559153175592,"06105"
0.262,5.14826146410204,5.62091626316657,152.8,0.193,9205.54346583093,0.00303948819211242,"06107"
0.158,4.53400334331076,5.76184023917471,120.9,0.18,9372.14888963163,0.00227557785343128,"06109"
0.176,4.39049296058075,5.58549828122715,175.5,0.164,5626.36830525644,0.00456069656006783,"06111"
0.194,4.36975774955289,5.77116040794009,180,0.178,5727.99882160082,0.00418921036380227,"06113"
0.213,5.17806762046281,6.34917999271992,157.7,0.195,9988.29923765166,0.0024454274103643,"06115"
0.191,4.11388210085136,5.41104659471179,298.8,0.184,8283.4627209203,0.00385911824414908,"08001"
0.212,4.5546231450488,5.69973835334135,195.8,0.196,12905.12319343,0.0144437058076993,"08003"
0.142,3.65186423645769,5.13367982912422,311.7,0.164,6895.39550485446,0.00429378531073446,"08005"
0.136,3.99084824110286,5.49224255432429,145.8,0.163,8261.47567305686,0.00224800580130529,"08007"
0.217,5.03066257929314,6.42486680992298,NA,0.218,16304.4281840479,0.00028457598178713,"08009"
0.228,5.21113476596054,5.97952910022439,NA,0.188,10364.2801024877,0.0006945650286508,"08011"
0.114,3.7278539626171,5.08533090404352,171.3,0.154,4570.66898940516,0.00836916578413136,"08013"
0.1,3.36861075546744,5.03103410652809,18.2,0.145,4980.17684434037,0.00209757716561567,"08014"
0.153,4.00884856603403,5.36221670194176,132.4,0.17,6515.53780189742,0.00278967819069443,"08015"
0.146,4.24302357792404,5.64700597986438,NA,0.172,12533.6334337467,NA,"08017"
0.116,3.44673584230935,5.06179837069523,271.1,0.159,4820.20186394981,0.00031759474910014,"08019"
0.212,4.6344077497975,5.62422646091206,80.3,0.181,12590.5859716727,0.00039411455596426,"08021"
0.24,5.0821149064775,5.86151106863623,285.1,0.187,20238.5319777396,0.00027586206896551,"08023"
0.239,5.14816446149014,5.75523745422152,503.7,0.18,16104.6831825787,NA,"08025"
0.14,4.03154869682776,5.60360176905434,NA,0.168,8054.69254044974,0.00079286422200198,"08027"
0.179,4.46991247527874,5.94442574268063,109.2,0.187,9511.59185876783,0.00202141435835886,"08029"
0.173,3.7703257466965,5.50429818923689,888.8,0.174,8059.70511092116,0.00698279460773083,"08031"
0.148,4.1220715061158,5.71093510360658,NA,0.177,7029.4235418915,NA,"08033"
0.098,2.93017417467671,4.52093958208859,94.8,0.14,4121.10594099655,0.00162064012574867,"08035"
0.135,3.50950107524488,4.73134509008271,169.2,0.16,4321.35701873141,0.00242252409065623,"08037"
0.126,3.59816479523118,5.35992518213118,117,0.175,6353.73013356085,0.001105868475376,"08039"
0.149,4.11622596059357,5.51332092097434,176.6,0.172,9565.7337158005,0.00402511563737096,"08041"
0.174,4.43161454541614,5.48075132333847,359.3,0.172,9802.37480952702,0.00388634944926602,"08043"
0.15,3.83022671119007,5.51424217858959,150.5,0.17,6090.06611589156,0.00271874648091247,"08045"
0.126,3.7081741253107,5.23411875684884,149.2,0.162,6624.65865090329,0.00068108292184573,"08047"
0.121,3.76035822182801,5.30987389372605,148.5,0.161,7066.24596884988,0.00176544766708701,"08049"
0.107,3.50984082872046,5.08919654417088,58.6,0.151,4089.85149238432,0.00277761703605115,"08051"
0.115,3.53037137302154,5.2273649597567,NA,0.161,NA,0.00256081946222791,"08053"
0.189,4.32930144911724,5.60346569393642,174.2,0.184,14473.394911803,0.00173410404624277,"08055"
0.195,4.83967265561056,6.04798339319305,NA,0.19,NA,0.00440205429200293,"08057"
0.126,3.66688169190711,5.35452537849044,187.8,0.164,6799.48985719511,0.00395113021303321,"08059"
0.197,4.70403125181989,6.17081524785303,NA,0.205,10213.8128990799,NA,"08061"
0.152,4.57750095469017,5.89541508393901,104,0.172,10203.7987193634,0.00129496402877698,"08063"
0.118,3.70093542082222,5.08887524906942,127.2,0.144,7782.77645867622,0.00067503712704198,"08065"
0.121,4.04619044832382,5.78737931030603,134.2,0.162,7125.72660225161,0.00481777777777778,"08067"
