"FIPS","State","County","Deaths","Years_of_Potential_Life_Lost_Rate","Average_Number_of_Mentally_Unhealthy_Days","Primary_Care_Physicians_Rate","Mental_Health_Provider_Rate","Dentist_Rate","Preventable_Hospitalization_Rate","Pct_with_Annual_Mammogram","Pct_Uninsured","Pct_Households_with_Broadband_Access","Num_Completed_High_School"
"51520","Virginia","Bristol City",432,12792.80464,6.3141231662,64.501,136.84774,35.3461,3766,48,7.9315948309,75.979254811,10947
"51530","Virginia","Buena Vista City",151,13635.750987,6.3704486407,NA,76.14986,75.86102,3106,44,7.2817542408,87.82075833,3411
"51540","Virginia","Charlottesville City",496,6526.4230184,5.4136590035,284.63829,1198.23044,99.17793,1664,59,7.9727758872,89.958881161,26919
"51550","Virginia","Chesapeake City",3310,7790.7649674,5.6182061669,78.00405,210.33062,51.88365,3286,47,6.8232011539,92.023689653,158721
"51570","Virginia","Colonial Heights City",417,13353.409051,5.6236113011,125.86877,255.532,235.04974,2752,42,7.0439739414,87.382372432,11640
"51580","Virginia","Covington City",178,15933.419777,6.3409980889,52.47507,342.65104,52.8262,2577,46,6.9080408707,81.909346169,3328
"51590","Virginia","Danville City",1235,17832.97179,6.3950051659,111.33483,413.50957,118.40205,2294,55,8.374227264,76.046586518,24853
"51595","Virginia","Emporia City",169,21097.558635,6.2926276497,NA,457.62402,91.22423,2865,43,8.4483579248,83.77647589,2759
"51600","Virginia","Fairfax City",314,7713.7757,4.5713077104,8.23859,2219.21731,NA,1643,37,8.7672914404,96.32015724,14905
"51610","Virginia","Falls Church City",139,6198.9043923,4.4349645749,296.69496,1661.55941,349.65035,1530,41,3.8535645472,97.670576574,9586
"51620","Virginia","Franklin City",268,19348.636283,6.1671444533,109.52903,251.82876,60.62811,4522,50,7.1572424477,90.082644628,4731
"51630","Virginia","Fredericksburg City",397,10344.901827,5.5222977982,176.26115,860.75774,205.16744,3943,40,8.7022046159,91.96015031,15639
"51640","Virginia","Galax City",230,19228.01805,6.4515323182,NA,923.03112,118.87073,2667,44,9.9384503983,86.588493954,3705
"51650","Virginia","Hampton City",2362,10726.687521,5.9404990082,37.02467,387.31418,100.69764,2304,50,6.0800072651,91.459993072,86281
"51660","Virginia","Harrisonburg City",412,5913.608136,6.0066512982,134.16294,724.32559,142.69518,2293,51,13.170258401,83.49200854,21767
"51670","Virginia","Hopewell City",642,19634.606619,6.6913267337,30.25065,153.83263,56.61528,4476,42,7.4131069249,85.591420684,13099
"51678","Virginia","Lexington City",59,5114.4770739,5.6175899824,NA,850.1594,214.5635,2134,49,4.0191642268,89.180009704,3117
"51680","Virginia","Lynchburg City",1257,11250.794513,5.9544745175,126.56786,755.64217,114.77291,2637,38,7.0384528896,92.236901732,40271
"51683","Virginia","Manassas City",501,8307.4600815,5.1491981963,96.00075,379.42664,121.9455,2359,35,13.962695292,95.726800085,22571
"51685","Virginia","Manassas Park City",NA,NA,5.292434094,NA,NA,NA,NA,NA,14.052134289,94.03678606,8817
"51690","Virginia","Martinsville City",480,19660.896455,6.3874958579,NA,515.8759,NA,3098,49,7.7960194442,82.452393664,7531
"51700","Virginia","Newport News City",3036,10685.841516,5.8998063075,56.88375,222.26106,79.21609,2304,49,7.1236694876,90.658064857,110542
"51710","Virginia","Norfolk City",4052,11579.074586,5.8501879666,99.1114,327.80496,102.14811,3396,47,8.1488299445,87.324390993,136094
"51720","Virginia","Norton City",131,21701.119175,6.5377827074,81.83306,486.82703,138.54253,2472,39,5.9223961879,78.04249839,2391
"51730","Virginia","Petersburg City",1222,24086.456508,6.289865862,65.81112,597.43613,77.8583,3735,48,7.5488824175,83.088730308,19927
"51735","Virginia","Poquoson City",147,7082.1354303,5.3408548963,79.52919,79.14523,63.5829,3172,55,4.9582719686,93.343354091,8544
"51740","Virginia","Portsmouth City",2214,15223.011014,6.0219734928,60.30253,348.16567,175.20535,2202,45,7.0434091434,87.486768486,58767
"51750","Virginia","Radford City",192,8738.9042666,6.4500828857,54.54876,259.26581,77.66758,3118,51,5.911205074,88.509090909,6896
"51760","Virginia","Richmond City",4066,12129.699111,6.0041062338,105.91163,523.45287,152.13932,2621,49,8.5618645086,84.923393216,143692
"51770","Virginia","Roanoke City",2494,15725.19799,6.6636262218,110.25135,446.63531,76.65028,2510,46,8.5157841141,84.031407585,61861
"51775","Virginia","Salem City",533,10540.99947,5.7129628311,137.94191,878.90625,141.04925,2210,49,5.52897395,89.566074951,16254
"51790","Virginia","Staunton City",470,8560.0676486,5.7878492073,46.76357,779.47135,81.06856,1984,51,7.2239474622,83.665022895,17276
"51800","Virginia","Suffolk City",1509,9290.4387585,5.6719973965,76.92787,175.84121,49.72751,3457,51,6.3693328419,88.966687313,60684
"51810","Virginia","Virginia Beach City",5256,6864.424363,5.3465730002,71.23005,272.67778,80.33045,2940,53,7.2151741261,94.085094549,300311
"51820","Virginia","Waynesboro City",447,11090.004266,5.8883194817,84.25721,198.42982,118.37952,2103,54,8.7987923226,87.536382536,14259
"51830","Virginia","Williamsburg City",166,7519.0077663,5.6985695453,12.82874,37.86206,NA,1738,58,7.8266104756,89.664186608,7073
"51840","Virginia","Winchester City",488,11478.228112,5.7066286507,255.89991,821.95749,243.41352,3219,47,10.549837486,86.370501999,16061
"53001","Washington","Adams",234,8360.542419,5.4756686076,33.94598,196.92603,128.81065,1692,32,13.173619564,87.36708459,7925
"53003","Washington","Asotin",414,9609.8485661,5.8155674664,66.97326,523.3048,62.20011,1340,50,6.7863791964,86.988768807,15075
"53005","Washington","Benton",2584,7204.0593401,5.1935393239,70.4678,387.51225,71.43159,2110,42,8.2991113505,91.753155314,123049
"53007","Washington","Chelan",910,6380.1700136,5.1783470055,110.48891,592.52222,86.32986,1343,35,12.802241793,89.641524736,47392
"53009","Washington","Clallam",1381,8714.8283304,5.7922798715,95.89689,489.58978,93.8243,1208,37,9.2931432974,91.471041685,56317
"53011","Washington","Clark",5932,6422.0728395,5.2347817219,75.86957,471.64924,72.95188,2047,40,6.8877238059,93.961848521,325960
"53013","Washington","Columbia",83,9104.8402484,5.8290496307,74.22068,345.42314,74.51565,1988,31,7.6384022425,74.78858351,2754
"53015","Washington","Cowlitz",2139,9700.8564083,6.012195432,55.59341,571.48426,58.05852,2184,43,7.4816969211,89.562072381,70145
"53017","Washington","Douglas",440,5503.5527262,5.0890052276,27.46247,66.96728,49.78277,1896,40,12.999410394,88.999236058,24075
"53019","Washington","Ferry",188,13026.273619,6.0511546139,109.99588,320.12805,80.55854,1477,22,8.869530786,76.927979605,5218
"53021","Washington","Franklin",880,6306.851914,5.1172813157,20.35251,154.4924,51.68325,2278,40,13.423431864,92.334638368,43689
"53023","Washington","Garfield",NA,NA,5.5160575178,85.25149,42.31909,84.63817,2667,41,7.0063694268,82.699619772,1627
"53025","Washington","Grant",1346,8460.0811668,5.4617158559,39.88155,264.90582,55.27534,1751,35,12.956611619,89.673062431,50469
"53027","Washington","Grays Harbor",1722,10512.582679,6.2432849706,36.43888,503.29926,51.92243,2299,33,9.8635608497,88.729904609,50592
"53029","Washington","Island",1032,5964.8433964,5.3919015871,44.60609,328.05128,76.19048,1444,39,6.7152441177,94.272284613,61362
"53031","Washington","Jefferson",515,8179.7862501,5.8242549239,83.32093,530.9367,50.61181,1095,32,7.9013970439,90.375092845,27129
"53033","Washington","King",20208,5528.8231324,4.990478941,119.12241,638.1583,115.71434,1706,41,5.731595824,94.771921618,1532833
"53035","Washington","Kitsap",3263,6098.9477085,5.5361053448,67.44096,487.65027,79.22989,1651,38,7.0712021548,94.796017303,187219
"53037","Washington","Kittitas",486,5849.1531809,5.7049914241,50.55056,224.13642,55.3232,1387,37,8.3651012518,89.857660323,27244
"53039","Washington","Klickitat",374,7486.1380412,5.3760932122,56.23324,190.76688,30.08036,1626,35,9.653536931,85.932064661,15669
"53041","Washington","Lewis",1587,9176.6280332,5.9423204208,46.20963,648.83813,69.11093,1917,37,9.0377832247,86.278393266,54123
"53043","Washington","Lincoln",191,7268.5389487,5.232497133,26.7094,153.3481,43.09973,2382,48,7.9387349468,86.048508264,7454
"53045","Washington","Mason",1251,9816.3837942,5.7411435063,26.62131,279.28468,36.67518,2019,35,10.450548127,90.738186261,44945
"53047","Washington","Okanogan",792,9893.2484795,6.1225319634,82.0941,356.88141,76.51819,1306,33,15.736565201,86.413296141,26242
"53049","Washington","Pacific",526,10076.13933,6.2906391076,20.87857,512.39669,29.02998,1800,37,9.9445774027,89.392953426,17120
"53051","Washington","Pend Oreille",333,13768.398164,6.0965905025,57.61198,334.23856,28.21073,1713,36,7.7261613692,85.554983702,9547
"53053","Washington","Pierce",12116,7855.1274144,5.7755785724,71.72888,603.85745,85.72538,2352,35,6.6241098801,93.81958305,581276
"53055","Washington","San Juan",165,3315.2529485,5.0081602723,64.66562,447.05375,69.66027,847,39,9.8913951546,92.72442355,14425
"53057","Washington","Skagit",1794,6898.3541541,5.6046026529,81.86938,567.65867,79.28098,2039,45,8.5410202186,92.354128654,84926
"53059","Washington","Skamania",144,5865.7695011,5.9784542811,NA,174.05063,8.02568,2127,37,6.8242026068,86.686807654,8802
