"fips","year","CDCW_crude_death_rate"
5013,2012,1187.1
5013,2013,1335.6
5013,2014,1076.5
5013,2015,1300.4
5013,2016,1360.8
5013,2017,1620
5015,2009,994.2
5015,2010,965.5
5015,2011,1141.3
5015,2012,1122.8
5015,2013,1042.9
5015,2014,1124.6
5015,2015,1169.5
5015,2016,1139.4
5015,2017,1213.1
5017,2009,1341.7
5017,2010,1355.9
5017,2011,1544.2
5017,2012,1320.7
5017,2013,1429.2
5017,2014,1377.5
5017,2015,1387.5
5017,2016,1352.2
5017,2017,1429.1
5019,2009,1086.6
5019,2010,1100.2
5019,2011,1124.3
5019,2012,1159.7
5019,2013,1138.8
5019,2014,1001.1
5019,2015,1100.2
5019,2016,1147.5
5019,2017,1027.2
5021,2009,1370.2
5021,2010,1473.6
5021,2011,1618.4
5021,2012,1613.1
5021,2013,1551.7
5021,2014,1422.1
5021,2015,1621.6
5021,2016,1642.1
5021,2017,1729.2
5023,2009,1368.4
5023,2010,1255.3
5023,2011,1494.2
5023,2012,1336.8
5023,2013,1436.6
5023,2014,1330.3
5023,2015,1511.8
5023,2016,1547.7
5023,2017,1493.1
5025,2009,982.8
5025,2010,1139.4
5025,2011,991.7
5025,2012,1170.7
5025,2013,1140.5
5025,2014,1148.1
5025,2015,1347.6
5025,2016,1456.1
5025,2017,1292.4
5027,2009,1218.4
5027,2010,1238.2
5027,2011,1393.4
5027,2012,1189.1
5027,2013,1287
5027,2014,1161.6
5027,2015,1285.6
5027,2016,1305.4
5027,2017,1244.3
5029,2009,978.5
5029,2010,1151.7
5029,2011,1057.8
5029,2012,1240.2
5029,2013,1242.6
5029,2014,1176.3
5029,2015,1313.1
5029,2016,1303.9
5029,2017,1420
5031,2009,874.5
5031,2010,882.4
5031,2011,915.4
5031,2012,822.2
5031,2013,876
5031,2014,902.3
5031,2015,853.8
5031,2016,892
5031,2017,893.4
5033,2009,907.5
5033,2010,936.3
5033,2011,925
5033,2012,981.5
5033,2013,973.4
5033,2014,991.9
5033,2015,1061.5
5033,2016,1040.7
5033,2017,1015.9
5035,2009,936.6
5035,2010,966.6
5035,2011,1037.1
5035,2012,985.6
5035,2013,977
5035,2014,1005.1
5035,2015,949.7
5035,2016,1046
5035,2017,1117.9
5037,2009,1135.2
5037,2010,1080
5037,2011,1164.2
5037,2012,1543.9
5037,2013,1191
5037,2014,1329.3
5037,2015,1290.2
5037,2016,1432.2
5037,2017,1358
5039,2009,1148
5039,2010,1367.7
5039,2011,1387.5
5039,2012,1302.1
5039,2013,1437
5039,2014,1418.4
5039,2015,1433.5
5039,2016,1673.6
5039,2017,1474.4
5041,2009,1312.2
5041,2010,1114.7
5041,2011,1112.6
5041,2012,1227.6
5041,2013,1039.6
5041,2014,1345.4
5041,2015,1429.2
5041,2016,1372.5
5041,2017,1368.6
5043,2009,994.9
5043,2010,929.3
5043,2011,947.6
5043,2012,811
5043,2013,1155.2
5043,2014,1165.3
5043,2015,1102.4
5043,2016,1233.2
5043,2017,1121.5
5045,2009,672.3
5045,2010,725
5045,2011,661
5045,2012,729.5
5045,2013,745.9
5045,2014,746.9
5045,2015,763.5
5045,2016,798.5
5045,2017,773.9
5047,2009,1030.6
5047,2010,1219.3
5047,2011,1346.5
5047,2012,1185.9
5047,2013,1247.6
5047,2014,1415.3
5047,2015,1321.9
5047,2016,1446.7
5047,2017,1129.1
5049,2009,1561.6
5049,2010,1388.3
5049,2011,1244.3
5049,2012,1372
5049,2013,1300.4
5049,2014,1344.3
5049,2015,1507.7
5049,2016,1245.6
5049,2017,1783.5
5051,2009,1305.3
5051,2010,1348.6
5051,2011,1457.9
5051,2012,1309.6
5051,2013,1427.4
5051,2014,1373.8
5051,2015,1446.8
5051,2016,1414.7
5051,2017,1480.9
5053,2009,856.3
5053,2010,1047.4
5053,2011,1167.4
5053,2012,973
5053,2013,899.1
5053,2014,1135.4
5053,2015,1044.1
5053,2016,1222.2
5053,2017,1035
5055,2009,1071.4
5055,2010,1043
5055,2011,1114.2
5055,2012,1130.6
5055,2013,1083.6
5055,2014,1007
5055,2015,1142.6
5055,2016,1098.7
5055,2017,1147.5
5057,2009,1034.7
5057,2010,1145.6
5057,2011,1038.1
5057,2012,1117.4
5057,2013,1063.5
5057,2014,1097.3
5057,2015,1046
5057,2016,1028.5
5057,2017,1171
5059,2009,1051.9
5059,2010,1075.2
5059,2011,1177
5059,2012,1096
5059,2013,1203
5059,2014,1174.8
5059,2015,1262.5
5059,2016,1297.4
5059,2017,1319.5
5061,2009,1200.8
5061,2010,1240.1
5061,2011,1202.7
5061,2012,1354.2
5061,2013,1126.6
5061,2014,1140.7
5061,2015,1443.6
5061,2016,1158.7
5061,2017,1380
5063,2009,1100.4
5063,2010,1077.9
5063,2011,1052.6
5063,2012,1115.5
5063,2013,1086.6
5063,2014,1212.2
5063,2015,1176.7
5063,2016,1167.7
5063,2017,1069.2
5065,2009,1264.7
5065,2010,1277.7
5065,2011,1438.3
5065,2012,1447.2
5065,2013,1383.9
5065,2014,1371.8
5065,2015,1472.7
5065,2016,1354.9
5065,2017,1570.9
5067,2009,1292.8
5067,2010,1339.1
5067,2011,1304.2
5067,2012,1369.3
5067,2013,1271.6
5067,2014,1300.3
5067,2015,1274.7
5067,2016,1382
5067,2017,1435.7
5069,2009,1080.3
5069,2010,993.1
5069,2011,1117.4
5069,2012,1086.7
5069,2013,1187.3
5069,2014,1149.4
5069,2015,1236.6
5069,2016,1226.9
5069,2017,1240
5071,2009,945.9
5071,2010,1021.9
5071,2011,986.7
5071,2012,1038.6
