"GEOID","state","county","year","inf_mort_rate_5yr_lt1_avg","hosp_per100k","lth_psych_per100k","hosp_adm_per100k","hosp_beds_per1000","md_nf_fed_per100k","do_nf_fed_activ_per100k","stgh_ed_vists_per100k","stnglth_ed_vists_per100k","lo_birth_wgt_pct","suicide_deth_3yr_per100k","stgh_obstetrc_care_per100k_fem","do_nf_obgyn_gen_per100k_fem","md_nf_obgyn_gen_per100k_fem","comn_mentl_hlth_ctr_per100k","fedly_qualfd_hlth_ctr_per100k"
"13043","GA","Candler","2022",NA,9.09090909090909,0,5636.36363636364,2.27272727272727,54.5454545454545,0,33045.4545454545,0,9.28571428571429,NA,0,0,0,0,9.09090909090909
"13045","GA","Carroll","2022",6.1,1.60523950173366,0,13236.0023115449,2.47206883266983,185.405162450238,8.82881725953512,63946.320791062,0,9.35745477230193,17.6576345190702,0,3.14361610160167,18.86169660961,0,0.802619750866829
"13047","GA","Catoosa","2022",NA,1.4529392961962,0,717.752012320925,0.508528753668672,116.235143695696,11.6235143695696,28265.481068201,0,8.61027190332326,21.7940894429431,0,8.52587603376247,8.52587603376247,0,7.26469648098102
"13049","GA","Charlton","2022",NA,0,0,0,0,31.2964556763946,0,0,0,NA,NA,0,0,0,0,23.472341757296
"13051","GA","Chatham","2022",7,2.65686284277682,0.332107855347103,18462.8720023115,5.21077225039604,468.936291750109,28.5612755598508,41761.2343784768,10.9595592264544,11.1049416990561,12.952206358537,0.639913995558997,1.27982799111799,41.5944097113348,0,4.64950997485944
"13053","GA","Chattahoochee","2022",NA,11.3391540991042,0,32566.0505726273,6.4633178364894,317.496314774918,136.06984918925,420648.599614469,0,NA,NA,0,0,31.4861460957179,0,11.3391540991042
"13055","GA","Chattooga","2022",NA,0,0,0,0,28.0718639717677,0,0,0,8.62745098039216,NA,0,0,0,0,4.0102662816811
"13057","GA","Cherokee","2022",4.1,0.355520161548361,0,5249.6107054231,0.732371532789625,116.966133149411,6.75488306941887,21187.9350677977,0,6.73745880629806,13.1542459772894,0.705596793768169,0.705596793768169,11.2895487002907,0,0.711040323096723
"13059","GA","Clarke","2022",NA,2.30991337824832,0,21248.1231953802,4.59672762271415,461.21270452358,17.7093358999038,90386.1405197305,0,9.76709241172051,10.7795957651588,2.94295089686429,0,32.3724598655071,0,1.53994225216554
"13061","GA","Clay","2022",NA,0,0,0,0,70.298769771529,0,0,0,NA,NA,0,0,0,0,0
